Timestamp,CPU_Usage,Memory_Usage
1/8/2025 16:01,0,27.4
1/8/2025 16:03,8.7,28.5
1/8/2025 16:05,8.2,29.4
1/8/2025 16:07,8.3,29
1/8/2025 16:09,8.2,29.5
1/8/2025 16:11,8.2,28.7
1/8/2025 16:13,8.2,30.9
1/8/2025 16:15,8.7,27.8
1/8/2025 16:17,8.4,28.4
1/8/2025 16:19,8.4,30.4
1/8/2025 16:21,8.4,28.2
1/8/2025 16:23,8.2,30.2
1/8/2025 16:25,9,31.4
1/8/2025 16:27,8.3,28.8
1/8/2025 16:29,8.2,31
1/8/2025 16:31,8.3,30.5
1/8/2025 16:33,8.2,30.5
1/8/2025 16:35,8.1,30.2
1/8/2025 16:37,8.1,31
1/8/2025 16:39,8.4,29.9
1/8/2025 16:41,8.2,30.3
1/8/2025 16:43,8.1,32.5
1/8/2025 16:45,8.4,30.5
1/8/2025 16:47,8.3,32.4
1/8/2025 16:49,8.2,32
1/8/2025 16:51,8.2,31.8
1/8/2025 16:53,8.2,31.4
1/8/2025 16:55,8.2,33.5
1/8/2025 16:57,8.3,30.9
1/8/2025 16:59,8.3,33
1/8/2025 17:01,8.3,32.7
1/8/2025 17:03,8.1,31.3
1/8/2025 17:05,8.3,33.1
1/8/2025 17:07,8.2,32.7
1/8/2025 17:09,8.4,32.9
1/8/2025 17:11,8.2,32.3
1/8/2025 17:13,8.2,34.9
1/8/2025 17:15,8.7,31.7
1/8/2025 17:17,8.1,33.8
1/8/2025 17:19,8.3,33.4
1/8/2025 17:21,8.4,33.5
1/8/2025 17:23,8.3,33.3
1/8/2025 17:25,8.1,34.1
1/8/2025 17:27,8.2,36.2
1/8/2025 17:29,8.2,35.7
1/8/2025 17:31,8.2,37.5
1/8/2025 17:33,8.3,36.3
1/8/2025 17:35,8.2,38.1
1/8/2025 17:37,8.2,36.5
1/8/2025 17:39,8.2,38.5
1/8/2025 17:41,8.1,38.5
1/8/2025 17:43,8.1,37.4
1/8/2025 17:45,8.3,38.6
1/8/2025 17:47,8.3,37.5
1/8/2025 17:49,8.3,38.9
1/8/2025 17:51,8.1,37.7
1/8/2025 17:53,8.2,39
