Timestamp,CPU_Usage,Memory_Usage
1/8/2025 16:01,0,27.4
1/8/2025 16:21,8.7,28.5
1/8/2025 16:41,8.2,29.4
1/8/2025 17:01,8.3,29
1/8/2025 17:21,8.2,29.5
1/8/2025 17:41,8.2,28.7
1/8/2025 18:01,8.2,30.9
1/8/2025 18:21,8.7,27.8
1/8/2025 18:41,8.4,28.4
1/8/2025 19:01,8.4,30.4
1/8/2025 19:21,8.4,28.2
1/8/2025 19:41,8.2,30.2
1/8/2025 20:01,9,31.4
1/8/2025 20:21,8.3,28.8
1/8/2025 20:41,8.2,31
1/8/2025 21:01,8.3,30.5
1/8/2025 21:21,8.2,30.5
1/8/2025 21:41,8.1,30.2
1/8/2025 22:01,8.1,31
1/8/2025 22:21,8.4,29.9
1/8/2025 22:41,8.2,30.3
1/8/2025 23:01,8.1,32.5
1/8/2025 23:21,8.4,30.5
1/8/2025 23:41,8.3,32.4
1/9/2025 0:01,8.2,32
1/9/2025 0:21,8.2,31.8
1/9/2025 0:41,8.2,31.4
1/9/2025 1:01,8.2,33.5
1/9/2025 1:21,8.3,30.9
1/9/2025 1:41,8.3,33
1/9/2025 2:01,8.3,32.7
1/9/2025 2:21,8.1,31.3
1/9/2025 2:41,8.3,33.1
1/9/2025 3:01,8.2,32.7
1/9/2025 3:21,8.4,32.9
1/9/2025 3:41,8.2,32.3
1/9/2025 4:01,8.2,34.9
1/9/2025 4:21,8.7,31.7
1/9/2025 4:41,8.1,33.8
1/9/2025 5:01,8.3,33.4
1/9/2025 5:21,8.4,33.5
1/9/2025 5:41,8.3,33.3
1/9/2025 6:01,8.1,34.1
1/9/2025 6:21,8.2,36.2
1/9/2025 6:41,8.2,35.7
1/9/2025 7:01,8.2,37.5
1/9/2025 7:21,8.3,36.3
1/9/2025 7:41,8.2,38.1
1/9/2025 8:01,8.2,36.5
1/9/2025 8:21,8.2,38.5
1/9/2025 8:41,8.1,38.5
1/9/2025 9:01,8.1,37.4
1/9/2025 9:21,8.3,38.6
1/9/2025 9:41,8.3,37.5
1/9/2025 10:01,8.3,38.9
1/9/2025 10:21,8.1,37.7
1/9/2025 10:41,8.2,39
