Wall time,Step,Value
1736348589.811899,10000,1199.05126953125
1736348647.6753442,20000,1198.1497802734375
1736348731.8122323,30000,1197.1666259765625
1736348804.2533734,40000,1197.066650390625
1736348881.1302383,50000,1197.4891357421875
1736348933.472199,60000,1200.0704345703125
1736349021.7704926,70000,1199.5579833984375
1736349072.1367745,80000,1200.539794921875
1736349150.9216695,90000,1201.06494140625
1736349210.7349093,100000,1200.287109375
1736349281.455596,110000,1200.3702392578125
1736349343.2007413,120000,1202.453125
1736349421.5313458,130000,1205.7215576171875
1736349478.9895027,140000,1207.50732421875
1736349556.9660501,150000,1207.4404296875
1736349611.5657434,160000,1205.758056640625
1736349690.714454,170000,1206.439697265625
1736349745.893579,180000,1205.888916015625
1736349823.8152394,190000,1208.6248779296875
1736349877.6154938,200000,1210.52197265625
1736349935.3339229,210000,1210.5440673828125
1736350028.0147512,220000,1211.5059814453125
1736350081.553429,230000,1212.1881103515625
1736350154.5731604,240000,1212.3876953125
1736350211.323944,250000,1210.8095703125
1736350291.702732,260000,1209.0523681640625
1736350355.973959,270000,1209.4420166015625
1736350433.353728,280000,1209.882568359375
1736350483.4083781,290000,1210.209228515625
1736350571.6743376,300000,1209.0465087890625
1736350620.9023194,310000,1208.505615234375
1736350699.1189075,320000,1207.9310302734375
1736350755.116923,330000,1206.5020751953125
1736350835.8303375,340000,1208.4129638671875
1736350889.6768646,350000,1207.701416015625
1736350944.554892,360000,1209.05517578125
1736351019.4574082,370000,1211.0335693359375
1736351078.3088655,380000,1213.560302734375
1736351159.2827861,390000,1214.2864990234375
1736351220.2355275,400000,1212.15234375
1736351289.5062943,410000,1212.3809814453125
1736351349.4511902,420000,1213.8431396484375
1736351434.361284,430000,1212.8839111328125
1736351490.4046888,440000,1212.748779296875
1736351573.7400763,450000,1212.237548828125
1736351627.2758813,460000,1213.3782958984375
1736351705.8673725,470000,1215.1302490234375
1736351755.5222285,480000,1215.0740966796875
1736351835.738966,490000,1216.13427734375
1736351893.6391342,500000,1216.3497314453125
1736351971.1905293,510000,1215.9974365234375
1736352026.8890076,520000,1213.84423828125
1736352083.258714,530000,1210.6043701171875
1736352166.6859798,540000,1210.670654296875
1736352219.2196257,550000,1209.9891357421875
1736352292.9279056,560000,1210.5537109375
1736352350.540293,570000,1210.57373046875
1736352430.6294026,580000,1211.4727783203125
1736352486.6627014,590000,1212.0494384765625
1736352564.8199308,600000,1212.498046875
1736352618.6486537,610000,1213.21826171875
1736352702.271623,620000,1213.485595703125
1736352758.0098531,630000,1216.93701171875
1736352841.372216,640000,1219.18603515625
1736352890.300997,650000,1218.609619140625
1736352946.6296954,660000,1218.8699951171875
1736353027.2721155,670000,1216.7142333984375
1736353084.1351502,680000,1215.85107421875
1736353160.6980898,690000,1214.343017578125
1736353220.5435965,700000,1214.7333984375
1736353303.2633018,710000,1214.29833984375
1736353351.2220201,720000,1219.451416015625
1736353429.1480565,730000,1218.9681396484375
1736353486.5235305,740000,1216.031982421875
1736353563.8202496,750000,1216.37109375
1736353617.6835222,760000,1216.3951416015625
1736353700.6984508,770000,1216.005126953125
1736353755.357903,780000,1217.416748046875
1736353840.8669739,790000,1220.652099609375
1736353894.1242023,800000,1220.960693359375
1736353969.2471023,810000,1220.760009765625
1736354023.6549478,820000,1220.529296875
1736354106.4225345,830000,1219.3177490234375
1736354167.4527667,840000,1221.386962890625
1736354213.8518312,850000,1219.8580322265625
1736354298.6309736,860000,1220.3680419921875
1736354351.4303622,870000,1220.7685546875
1736354431.6944873,880000,1221.0283203125
1736354486.8343055,890000,1221.162841796875
1736354577.2363987,900000,1221.6712646484375
1736354625.7744029,910000,1222.547607421875
1736354704.2819898,920000,1219.6845703125
1736354759.1842666,930000,1221.913818359375
1736354839.495861,940000,1224.5556640625
1736354896.6981175,950000,1226.4476318359375
1736354975.6105304,960000,1226.0875244140625
1736355028.8595467,970000,1225.458251953125
1736355111.5950067,980000,1225.2425537109375
1736355170.1000607,990000,1225.0972900390625
1736355243.2494993,1000000,1223.40966796875
1736355298.4493208,1010000,1223.74853515625
1736355381.3457165,1020000,1224.1856689453125
1736355442.9995492,1030000,1222.8841552734375
1736355513.4428403,1040000,1226.3377685546875
1736355568.2165666,1050000,1229.0670166015625
1736355657.5454402,1060000,1227.9356689453125
1736355706.3931262,1070000,1227.531982421875
1736355761.6655407,1080000,1227.0906982421875
1736355843.9459713,1090000,1222.2686767578125
1736355899.0158815,1100000,1221.6976318359375
1736355978.207425,1110000,1220.3896484375
1736356035.7635806,1120000,1222.1497802734375
1736356117.8719368,1130000,1227.0057373046875
1736356171.040558,1140000,1227.213623046875
1736356258.4680657,1150000,1221.3653564453125
1736356307.616132,1160000,1220.4068603515625
1736356394.361064,1170000,1223.7921142578125
1736356456.3709776,1180000,1226.36279296875
1736356550.8581977,1190000,1226.0916748046875
1736356608.7654824,1200000,1224.441650390625
1736356683.766928,1210000,1223.3074951171875
1736356739.3153832,1220000,1224.1514892578125
1736356800.315826,1230000,1225.2799072265625
1736356877.0904837,1240000,1225.6600341796875
1736356932.8035696,1250000,1225.6600341796875
1736357008.8968465,1260000,1225.6600341796875
1736357066.0531645,1270000,1222.765869140625
1736357144.9928243,1280000,1218.5634765625
1736357202.4952927,1290000,1216.830810546875
1736357282.8577404,1300000,1216.6729736328125
1736357338.8234699,1310000,1216.959716796875
1736357421.597428,1320000,1216.5009765625
1736357468.3061764,1330000,1220.454833984375
1736357550.2405846,1340000,1223.9737548828125
