Timestamp,CPU_Usage,Memory_Usage
17/01/2025 21:17,0,59.1
17/01/2025 21:19,18.1,57.5
17/01/2025 21:21,23.7,61
17/01/2025 21:23,53.8,58.2
17/01/2025 21:25,30.1,57.2
17/01/2025 21:27,31.9,60.4
17/01/2025 21:29,29.9,56.8
17/01/2025 21:31,27.4,56.9
17/01/2025 21:33,35.1,56.4
17/01/2025 21:35,27.3,56.5
17/01/2025 21:37,30.3,59.4
17/01/2025 21:39,32.8,56
17/01/2025 21:41,27.4,56.4
17/01/2025 21:43,35.1,56.2
17/01/2025 21:45,27.9,56.7
17/01/2025 21:47,31.3,56.9
17/01/2025 21:49,35.1,56.7
17/01/2025 21:51,27.4,56.9
17/01/2025 21:53,29.9,60.1
17/01/2025 21:55,33.8,57.4
17/01/2025 21:57,28,57.5
17/01/2025 21:59,33.7,60
17/01/2025 22:01,30.6,57.1
17/01/2025 22:03,29,57.8
17/01/2025 22:05,37.9,60.9
17/01/2025 22:07,28.2,57.9
17/01/2025 22:09,28.5,57.3
17/01/2025 22:11,35.8,58.1
17/01/2025 22:13,28.6,58
17/01/2025 22:15,31.3,62
17/01/2025 22:17,33.8,58.1
17/01/2025 22:19,28.5,58.1
17/01/2025 22:21,36.1,60.9
17/01/2025 22:23,29.3,57.5
17/01/2025 22:25,30,58.1
17/01/2025 22:27,36.7,58.1
17/01/2025 22:29,29,58.2
17/01/2025 22:31,29.1,61
17/01/2025 22:33,36.2,58.3
17/01/2025 22:35,29.4,58.5
17/01/2025 22:37,34,61.6
17/01/2025 22:39,31.9,58.7
17/01/2025 22:41,29.2,58.5
17/01/2025 22:43,36.3,58.2
17/01/2025 22:45,29.2,58.7
17/01/2025 22:47,29.3,58.6
17/01/2025 22:49,36.4,58.3
17/01/2025 22:51,29.3,58.3
17/01/2025 22:53,31.3,62.2
17/01/2025 22:55,34.4,58.4
17/01/2025 22:57,29.3,58.6
17/01/2025 22:59,41,61.4
17/01/2025 23:01,31.2,57.9
17/01/2025 23:03,28.5,58.7
17/01/2025 23:05,34.6,61.3
17/01/2025 23:07,29.7,58.5
17/01/2025 23:09,31.1,58.5
17/01/2025 23:11,36.5,58.4
17/01/2025 23:13,29.6,58.4
17/01/2025 23:15,31.9,61.4
17/01/2025 23:17,34.5,58.6
17/01/2025 23:19,29.8,58.8
17/01/2025 23:21,35.8,61.3
17/01/2025 23:23,31,58.2
17/01/2025 23:25,30.2,58.4
17/01/2025 23:27,36.8,58.5
17/01/2025 23:29,29.3,58.2
17/01/2025 23:31,30.5,61.3
17/01/2025 23:33,35.4,58.7
17/01/2025 23:35,30,58.7
17/01/2025 23:37,32.5,61.3
17/01/2025 23:39,33.6,58
17/01/2025 23:41,29.2,58.6
17/01/2025 23:43,36.2,61.2
17/01/2025 23:45,29.7,58.4
17/01/2025 23:47,29.4,58.2
17/01/2025 23:49,35.5,58.4
17/01/2025 23:51,29.3,58.2
17/01/2025 23:53,32.7,61.9
17/01/2025 23:55,45.6,60.6
17/01/2025 23:57,45,59.8
17/01/2025 23:59,31.9,61.7
18/01/2025 0:01,37.7,59
18/01/2025 0:03,29.6,59
18/01/2025 0:05,35.8,61.5
18/01/2025 0:07,29.9,58.8
18/01/2025 0:09,29.5,58.3
18/01/2025 0:11,36.3,58.4
18/01/2025 0:13,29.2,58.1
18/01/2025 0:15,32.8,61.5
18/01/2025 0:17,34.2,58.2
18/01/2025 0:19,28.9,58.3
18/01/2025 0:21,36.3,61.1
18/01/2025 0:23,29.7,58.1
18/01/2025 0:25,29.9,58.2
18/01/2025 0:27,36.8,58.2
18/01/2025 0:29,29.2,58.8
18/01/2025 0:31,30.7,61.6
18/01/2025 0:33,35.7,58.6
18/01/2025 0:35,30.1,58.9
18/01/2025 0:37,34.9,61.4
18/01/2025 0:39,31.6,58.1
18/01/2025 0:41,29.7,58.3
18/01/2025 0:43,36.9,58.1
18/01/2025 0:45,29.4,58.2
18/01/2025 0:47,29.4,61.1
18/01/2025 0:49,36.7,58.2
18/01/2025 0:51,29.8,58.5
18/01/2025 0:53,33,63.1
18/01/2025 0:55,34.2,59.5
18/01/2025 0:57,36.8,59.7
18/01/2025 0:59,35.1,62.6
18/01/2025 1:01,30.6,59.6
18/01/2025 1:03,29.8,59.8
18/01/2025 1:05,38.1,59.7
18/01/2025 1:07,29.6,59.7
18/01/2025 1:09,31.2,62.5
18/01/2025 1:11,39.5,61.6
18/01/2025 1:13,34.8,61.7
18/01/2025 1:15,31.1,64.4
18/01/2025 1:17,34.2,61.1
18/01/2025 1:19,28.3,61
18/01/2025 1:21,34.2,64
18/01/2025 1:23,30.1,61
18/01/2025 1:25,28.7,61
18/01/2025 1:27,35.6,60.9
18/01/2025 1:29,28.3,61
18/01/2025 1:31,30.5,63.8
18/01/2025 1:33,29,59
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
