Timestamp,CPU_Usage,Memory_Usage
18/01/2025 14:50,0,45.9
18/01/2025 14:52,19.9,45.9
18/01/2025 14:54,22.3,49.3
18/01/2025 14:56,29.4,46
18/01/2025 14:58,28.5,46.9
18/01/2025 15:00,33.3,46.6
18/01/2025 15:02,20,46.2
18/01/2025 15:04,30.4,48
18/01/2025 15:06,24.4,45.1
18/01/2025 15:08,21.6,48.3
18/01/2025 15:10,32.1,44.2
18/01/2025 15:12,20.6,44.8
18/01/2025 15:14,33,44.7
18/01/2025 15:16,20.3,45.1
18/01/2025 15:18,26.7,47.9
18/01/2025 15:20,26.8,44.3
18/01/2025 15:22,19.4,45.2
18/01/2025 15:24,28.7,44.7
18/01/2025 15:26,15.2,44.5
18/01/2025 15:28,29.1,44.5
18/01/2025 15:30,15.9,44.5
18/01/2025 15:32,25.8,47.4
18/01/2025 15:34,26,44.7
18/01/2025 15:36,20.5,44.5
18/01/2025 15:38,32.2,44.3
18/01/2025 15:40,20.4,44.3
18/01/2025 15:42,32.1,44.3
18/01/2025 15:44,20.6,44.4
18/01/2025 15:46,24.3,47.2
18/01/2025 15:48,28.5,44.1
18/01/2025 15:50,20.7,44.2
18/01/2025 15:52,32.1,44.2
18/01/2025 15:54,20.7,44.4
18/01/2025 15:56,29.1,47.3
18/01/2025 15:58,24.2,44.5
18/01/2025 16:00,19,44.9
18/01/2025 16:02,28.7,44.4
18/01/2025 16:04,19.6,44.9
18/01/2025 16:06,32.3,44.3
18/01/2025 16:08,20.2,44.9
18/01/2025 16:10,18.2,47.4
18/01/2025 16:12,25.4,44.5
18/01/2025 16:14,15.6,44.7
18/01/2025 16:16,30.8,44.6
18/01/2025 16:18,16.5,45
18/01/2025 16:20,25.2,47.5
18/01/2025 16:22,25.6,44.4
18/01/2025 16:24,21,44.9
18/01/2025 16:26,32,44.8
18/01/2025 16:28,16.4,44.6
18/01/2025 16:30,30.3,48.8
18/01/2025 16:32,16.6,45.1
18/01/2025 16:34,18.7,47.7
18/01/2025 16:36,27.7,44.7
18/01/2025 16:38,15.1,44.7
18/01/2025 16:40,30.1,44.5
18/01/2025 16:42,15.2,45.1
18/01/2025 16:44,24.3,49.4
18/01/2025 16:46,25.6,45.2
18/01/2025 16:48,16.6,45.7
18/01/2025 16:50,32,44.9
18/01/2025 16:52,19.8,45.3
18/01/2025 16:54,32.1,48.6
18/01/2025 16:56,19.6,45
18/01/2025 16:58,23.9,49.2
18/01/2025 17:00,33.5,45.8
18/01/2025 17:02,20.3,45.8
18/01/2025 17:04,32.5,45.3
18/01/2025 17:06,20.4,45.3
18/01/2025 17:08,28.8,49
18/01/2025 17:10,24.5,45.1
18/01/2025 17:12,21.2,48.2
18/01/2025 17:14,30,45.3
18/01/2025 17:16,15.7,45.6
18/01/2025 17:18,32.6,48.5
18/01/2025 17:20,19.8,45.4
18/01/2025 17:22,23.7,49
18/01/2025 17:24,28.3,45.3
18/01/2025 17:26,19.4,45.2
18/01/2025 17:28,32.4,45
18/01/2025 17:30,19.5,45.2
18/01/2025 17:32,28.1,48.2
18/01/2025 17:34,24,45.5
18/01/2025 17:36,16.1,45.2
18/01/2025 17:38,32.3,45.3
18/01/2025 17:40,20.3,45.2
18/01/2025 17:42,30.7,49.2
18/01/2025 17:44,22.2,45.4
18/01/2025 17:46,20.8,49.2
18/01/2025 17:48,31.5,45.2
18/01/2025 17:50,20.3,45.1
18/01/2025 17:52,32.4,44.8
18/01/2025 17:54,20.1,45
18/01/2025 17:56,24.1,48.9
18/01/2025 17:58,28.5,45.4
18/01/2025 18:00,19.8,45
18/01/2025 18:02,32.5,45.1
18/01/2025 18:04,20.3,45.4
18/01/2025 18:06,31.3,48.4
18/01/2025 18:08,18.6,45.2
18/01/2025 18:10,20.8,49.2
18/01/2025 18:12,28,45.1
18/01/2025 18:14,17.7,45.7
18/01/2025 18:16,32.2,45.5
18/01/2025 18:18,17.2,45.5
18/01/2025 18:20,25.3,48.1
18/01/2025 18:22,23.7,45.5
18/01/2025 18:24,17.4,45.2
18/01/2025 18:26,31.9,45
18/01/2025 18:28,17.2,45
18/01/2025 18:30,30.3,48.4
18/01/2025 18:32,18.6,45.4
18/01/2025 18:34,19.3,47.9
18/01/2025 18:36,30.3,45.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
