Timestamp,CPU_Usage,Memory_Usage
2025-01-12 09:52:43,27.3,57.6
2025-01-12 10:12:43,15.9,49.7
2025-01-12 10:32:43,22.5,67.1
2025-01-12 10:52:43,24.0,60.5
2025-01-12 11:12:43,26.1,59.4
2025-01-12 11:32:43,23.5,61.7
2025-01-12 11:52:43,23.8,60.6
2025-01-12 12:12:43,20.8,48.6
2025-01-12 12:32:43,16.1,48.2
2025-01-12 12:52:43,16.4,48.6
2025-01-12 13:12:43,16.0,48.5
2025-01-12 13:32:43,15.9,48.5
2025-01-12 13:52:43,15.6,47.3
2025-01-12 14:12:43,16.0,48.9
2025-01-12 14:32:43,16.1,48.7
2025-01-12 14:52:43,16.1,48.3
2025-01-12 15:12:44,15.9,47.7
2025-01-12 15:32:44,15.9,47.8
2025-01-12 15:52:44,15.7,47.9
2025-01-12 16:12:44,15.9,46.7
2025-01-12 16:32:44,16.2,48.1
2025-01-12 16:52:44,15.9,48.0
2025-01-12 17:12:44,15.6,46.7
2025-01-12 17:32:44,16.3,48.1
2025-01-12 17:52:44,15.7,47.1
2025-01-12 18:12:44,16.5,48.3
2025-01-12 18:32:44,16.0,47.1
2025-01-12 18:52:44,18.2,47.9
2025-01-12 19:12:44,15.7,47.9
2025-01-12 19:32:44,15.7,47.8
2025-01-12 19:52:44,19.6,62.7
2025-01-12 20:12:44,23.8,62.0
2025-01-12 20:32:44,23.1,57.8
2025-01-12 20:52:44,20.2,61.5
2025-01-12 21:12:44,18.2,64.1
2025-01-12 21:32:44,14.3,54.1
2025-01-12 21:52:44,13.5,54.6
2025-01-12 22:12:44,12.6,47.2
2025-01-12 22:32:44,13.0,46.6
2025-01-12 22:52:44,12.4,46.8
2025-01-12 23:12:44,12.4,47.0
2025-01-12 23:32:44,12.7,45.4
2025-01-12 23:52:44,12.9,46.9
2025-01-13 00:12:44,13.0,47.4
2025-01-13 00:32:44,12.6,47.4
2025-01-13 00:52:44,12.8,45.9
2025-01-13 01:12:44,13.1,47.4
2025-01-13 01:32:44,12.8,47.6
2025-01-13 01:52:44,14.9,47.6
2025-01-13 02:12:44,15.8,47.7
2025-01-13 02:32:44,15.7,47.2
2025-01-13 02:52:44,15.6,46.3
2025-01-13 03:12:44,15.9,47.2
2025-01-13 03:32:44,17.1,49.1
2025-01-13 03:52:44,17.8,47.7
2025-01-13 04:12:44,15.8,46.9
2025-01-13 04:32:44,15.7,45.8
2025-01-13 04:52:44,16.2,47.4
2025-01-13 05:12:44,16.1,47.4
2025-01-13 05:32:44,16.0,46.1
2025-01-13 05:52:44,15.9,47.6
2025-01-13 06:12:44,15.7,47.5
2025-01-13 06:32:44,15.7,47.6
2025-01-13 06:52:44,16.1,47.9
2025-01-13 07:12:44,16.4,46.8
2025-01-13 07:32:44,15.9,48.1
2025-01-13 07:52:44,15.7,48.1
2025-01-13 08:12:44,15.7,48.6
2025-01-13 08:32:44,16.0,48.3
