Timestamp,CPU_Usage,Memory_Usage
2025-01-09 13:54:16,0.0,54.5
2025-01-09 13:55:16,4.5,61.8
2025-01-09 13:56:16,7.1,61.0
2025-01-09 13:57:16,5.9,64.4
2025-01-09 13:58:16,5.3,62.0
2025-01-09 13:59:16,5.1,60.9
2025-01-09 14:00:16,5.7,62.2
2025-01-09 14:01:16,5.3,60.5
2025-01-09 14:02:16,5.4,59.7
2025-01-09 14:03:16,5.8,62.4
2025-01-09 14:04:16,5.2,61.0
2025-01-09 14:05:16,5.0,60.4
2025-01-09 14:06:16,5.1,62.6
2025-01-09 14:07:16,5.1,61.9
2025-01-09 14:08:16,5.2,61.2
2025-01-09 14:09:16,5.2,59.1
2025-01-09 14:10:16,5.0,61.6
2025-01-09 14:11:16,4.4,60.2
2025-01-09 14:12:16,4.2,59.6
2025-01-09 14:13:16,4.5,58.7
2025-01-09 14:14:16,4.3,61.2
2025-01-09 14:15:16,4.4,59.4
2025-01-09 14:16:16,4.8,58.7
2025-01-09 14:17:16,4.3,61.4
2025-01-09 14:18:16,4.4,60.0
2025-01-09 14:19:16,4.5,58.7
2025-01-09 14:20:16,4.3,61.1
2025-01-09 14:21:16,4.5,60.2
2025-01-09 14:22:16,4.4,59.2
2025-01-09 14:23:16,4.5,61.3
2025-01-09 14:24:16,4.3,60.0
2025-01-09 14:25:16,4.2,58.8
2025-01-09 14:26:16,4.6,61.2
2025-01-09 14:27:16,4.5,60.0
2025-01-09 14:28:16,4.4,58.9
2025-01-09 14:29:16,4.3,60.8
2025-01-09 14:30:16,4.0,59.3
2025-01-09 14:31:16,4.4,62.2
2025-01-09 14:32:16,4.1,61.1
2025-01-09 14:33:16,4.3,60.2
2025-01-09 14:34:16,4.3,62.4
2025-01-09 14:35:16,4.0,61.3
2025-01-09 14:36:16,4.6,59.9
2025-01-09 14:37:16,4.0,59.3
2025-01-09 14:38:16,4.2,61.8
2025-01-09 14:39:16,4.3,59.9
2025-01-09 14:40:16,4.2,59.2
2025-01-09 14:41:16,4.3,61.6
2025-01-09 14:42:16,4.3,60.7
2025-01-09 14:43:16,4.1,61.0
2025-01-09 14:44:16,4.4,59.4
2025-01-09 14:45:16,4.4,61.8
2025-01-09 14:46:16,4.2,60.5
2025-01-09 14:47:16,4.4,59.7
2025-01-09 14:48:16,4.3,58.7
2025-01-09 14:49:16,4.3,60.8
2025-01-09 14:50:16,4.3,59.6
2025-01-09 14:51:16,4.5,61.9
2025-01-09 14:52:16,4.3,61.4
2025-01-09 14:53:16,4.4,60.6
2025-01-09 14:54:16,5.2,61.8
2025-01-09 14:55:16,5.9,60.3
2025-01-09 14:56:16,6.0,59.5
2025-01-09 14:57:16,5.7,61.9
2025-01-09 14:58:16,5.7,60.7
2025-01-09 14:59:16,5.6,59.9
2025-01-09 15:00:16,5.6,61.5
2025-01-09 15:01:16,5.7,60.5
2025-01-09 15:02:16,5.7,59.5
2025-01-09 15:03:16,5.8,61.6
2025-01-09 15:04:16,4.8,59.7
2025-01-09 15:05:16,4.3,62.1
2025-01-09 15:06:16,4.2,60.8
2025-01-09 15:07:16,4.5,60.3
2025-01-09 15:08:16,4.1,59.5
2025-01-09 15:09:16,4.1,61.6
2025-01-09 15:10:16,4.4,60.5
2025-01-09 15:11:16,4.2,63.0
2025-01-09 15:12:16,4.3,61.7
2025-01-09 15:13:16,4.1,61.0
2025-01-09 15:14:16,4.5,59.2
