Timestamp,CPU_Usage,Memory_Usage
2025-01-08 16:07:18,0.0,53.9
2025-01-08 16:08:18,6.5,54.8
2025-01-08 16:09:18,6.0,54.9
2025-01-08 16:10:18,5.5,55.4
2025-01-08 16:11:18,5.6,55.3
2025-01-08 16:12:18,5.9,55.3
2025-01-08 16:13:18,6.0,53.6
2025-01-08 16:14:18,5.5,53.8
2025-01-08 16:15:18,5.4,53.8
2025-01-08 16:16:18,5.5,54.7
2025-01-08 16:17:18,5.3,55.0
2025-01-08 16:18:18,5.4,52.6
2025-01-08 16:19:18,6.7,55.6
2025-01-08 16:20:18,5.0,56.3
2025-01-08 16:21:18,5.8,56.8
2025-01-08 16:22:18,6.6,56.8
2025-01-08 16:23:18,6.6,55.1
2025-01-08 16:24:18,6.6,55.6
2025-01-08 16:25:18,6.8,56.1
2025-01-08 16:26:18,6.3,56.3
2025-01-08 16:27:18,6.6,57.5
2025-01-08 16:28:18,7.0,56.8
2025-01-08 16:29:18,8.1,57.3
2025-01-08 16:30:18,8.7,57.7
2025-01-08 16:31:18,8.4,58.5
2025-01-08 16:32:18,7.2,58.3
2025-01-08 16:33:18,6.7,55.3
2025-01-08 16:34:18,6.4,54.9
2025-01-08 16:35:18,6.7,55.3
2025-01-08 16:36:18,6.1,55.8
2025-01-08 16:37:18,4.8,56.1
2025-01-08 16:38:18,4.1,56.5
2025-01-08 16:39:18,4.6,56.9
2025-01-08 16:40:18,4.6,56.9
2025-01-08 16:41:18,4.4,57.2
2025-01-08 16:42:18,4.6,56.7
2025-01-08 16:43:18,4.1,57.0
2025-01-08 16:44:18,4.4,57.3
2025-01-08 16:45:18,4.5,54.9
2025-01-08 16:46:18,4.4,55.3
2025-01-08 16:47:18,4.7,55.6
2025-01-08 16:48:18,4.6,54.8
2025-01-08 16:49:18,4.3,55.0
2025-01-08 16:50:18,4.4,55.6
2025-01-08 16:51:18,4.4,56.0
2025-01-08 16:52:18,4.6,56.6
2025-01-08 16:53:18,4.5,57.2
2025-01-08 16:54:18,4.5,57.4
2025-01-08 16:55:18,4.4,57.8
2025-01-08 16:56:18,4.5,54.7
2025-01-08 16:57:18,4.5,55.2
2025-01-08 16:58:18,4.5,55.8
2025-01-08 16:59:18,4.7,56.2
2025-01-08 17:00:18,4.6,56.7
2025-01-08 17:01:18,4.0,57.3
2025-01-08 17:02:18,4.7,57.5
2025-01-08 17:03:18,5.1,54.6
2025-01-08 17:04:18,5.0,55.6
2025-01-08 17:05:18,4.7,56.1
2025-01-08 17:06:18,4.6,56.5
2025-01-08 17:07:18,4.7,54.6
2025-01-08 17:08:18,4.8,55.6
2025-01-08 17:09:18,4.6,56.1
2025-01-08 17:10:18,5.0,56.3
2025-01-08 17:11:18,4.8,57.1
2025-01-08 17:12:18,4.7,57.6
2025-01-08 17:13:18,4.8,58.0
2025-01-08 17:14:18,4.7,58.6
2025-01-08 17:15:18,4.9,58.8
2025-01-08 17:16:18,6.1,59.3
2025-01-08 17:17:18,4.9,59.5
2025-01-08 17:18:18,4.8,54.8
2025-01-08 17:19:18,4.9,55.4
2025-01-08 17:20:18,5.0,56.3
2025-01-08 17:21:18,4.9,56.8
2025-01-08 17:22:18,4.9,57.4
2025-01-08 17:23:18,4.1,58.1
2025-01-08 17:24:18,4.3,58.2
2025-01-08 17:25:18,4.6,59.0
2025-01-08 17:26:18,4.2,59.5
2025-01-08 17:27:18,4.5,58.9
2025-01-08 17:28:18,4.5,59.4
2025-01-08 17:29:18,4.3,55.7
2025-01-08 17:30:18,4.9,56.3
2025-01-08 17:31:18,4.2,56.6
2025-01-08 17:32:18,4.6,57.4
2025-01-08 17:33:18,4.6,55.3
2025-01-08 17:34:18,4.4,56.4
2025-01-08 17:35:18,4.6,56.9
2025-01-08 17:36:18,4.6,57.8
2025-01-08 17:37:18,4.2,58.3
2025-01-08 17:38:18,4.6,58.9
2025-01-08 17:39:18,4.8,59.8
2025-01-08 17:40:18,4.9,55.2
2025-01-08 17:41:18,4.4,56.0
2025-01-08 17:42:18,4.5,57.0
2025-01-08 17:43:18,4.3,57.7
2025-01-08 17:44:18,4.4,58.2
2025-01-08 17:45:18,4.7,59.2
2025-01-08 17:46:18,4.4,59.4
2025-01-08 17:47:18,4.5,59.9
2025-01-08 17:48:18,4.9,61.1
2025-01-08 17:49:18,4.7,56.3
2025-01-08 17:50:18,4.9,57.0
2025-01-08 17:51:18,5.5,58.4
2025-01-08 17:52:18,5.6,57.2
2025-01-08 17:53:18,5.6,57.2
2025-01-08 17:54:18,5.4,58.1
2025-01-08 17:55:18,5.4,58.4
2025-01-08 17:56:18,5.9,59.6
2025-01-08 17:57:18,5.7,60.4
2025-01-08 17:58:18,5.3,60.8
2025-01-08 17:59:18,5.4,61.2
2025-01-08 18:00:18,5.2,61.6
2025-01-08 18:01:18,5.3,61.3
2025-01-08 18:02:18,5.5,61.3
2025-01-08 18:03:18,5.6,56.5
2025-01-08 18:04:18,5.8,57.4
2025-01-08 18:05:18,5.3,57.9
2025-01-08 18:06:18,5.3,58.5
2025-01-08 18:07:18,5.4,59.3
2025-01-08 18:08:18,5.3,59.7
2025-01-08 18:09:18,5.0,60.3
2025-01-08 18:10:18,4.8,61.1
2025-01-08 18:11:18,4.7,61.8
2025-01-08 18:12:18,4.8,56.4
2025-01-08 18:13:18,5.3,54.6
2025-01-08 18:14:18,5.1,54.4
2025-01-08 18:15:18,5.0,54.7
2025-01-08 18:16:18,5.3,54.4
2025-01-08 18:17:18,5.1,54.1
2025-01-08 18:18:18,4.9,53.9
2025-01-08 18:19:18,5.1,53.9
2025-01-08 18:20:18,5.3,53.7
2025-01-08 18:21:18,5.2,54.0
2025-01-08 18:22:18,4.8,53.8
2025-01-08 18:23:18,4.9,53.6
2025-01-08 18:24:18,4.7,53.9
2025-01-08 18:25:18,4.7,53.0
2025-01-08 18:26:18,4.8,53.0
2025-01-08 18:27:18,4.7,53.0
2025-01-08 18:28:18,4.8,52.8
2025-01-08 18:29:18,5.1,52.9
2025-01-08 18:30:18,4.9,53.3
2025-01-08 18:31:18,4.7,53.1
2025-01-08 18:32:18,4.6,53.6
2025-01-08 18:33:18,5.7,53.7
2025-01-08 18:34:18,4.7,54.0
2025-01-08 18:35:18,5.2,53.6
2025-01-08 18:36:18,5.4,54.0
2025-01-08 18:37:18,5.3,53.8
2025-01-08 18:38:18,5.4,53.6
2025-01-08 18:39:18,5.3,53.5
2025-01-08 18:40:18,5.2,53.7
2025-01-08 18:41:18,5.2,53.6
2025-01-08 18:42:18,5.2,52.9
2025-01-08 18:43:18,5.3,52.9
2025-01-08 18:44:18,5.2,53.4
2025-01-08 18:45:18,5.5,53.0
2025-01-08 18:46:18,5.7,52.9
2025-01-08 18:47:18,5.3,53.2
2025-01-08 18:48:18,5.2,53.1
2025-01-08 18:49:18,5.2,52.8
2025-01-08 18:50:18,5.1,52.6
2025-01-08 18:51:18,4.4,52.9
2025-01-08 18:52:18,3.9,52.6
2025-01-08 18:53:18,3.8,52.6
2025-01-08 18:54:18,4.2,52.9
2025-01-08 18:55:18,4.0,52.5
2025-01-08 18:56:18,4.1,53.0
2025-01-08 18:57:18,4.2,52.4
2025-01-08 18:58:18,4.1,52.2
2025-01-08 18:59:18,4.2,52.6
2025-01-08 19:00:18,4.2,52.4
2025-01-08 19:01:18,4.3,52.6
2025-01-08 19:02:18,4.5,52.6
2025-01-08 19:03:18,4.5,52.6
2025-01-08 19:04:18,4.6,52.6
2025-01-08 19:05:18,4.5,53.0
2025-01-08 19:06:18,4.5,52.8
2025-01-08 19:07:18,4.5,52.6
2025-01-08 19:08:18,4.6,53.0
2025-01-08 19:09:18,4.4,52.8
2025-01-08 19:10:18,4.5,53.1
2025-01-08 19:11:18,4.5,52.7
2025-01-08 19:12:18,4.1,52.6
2025-01-08 19:13:18,5.1,53.2
2025-01-08 19:14:18,5.4,53.5
2025-01-08 19:15:18,5.0,53.5
2025-01-08 19:16:18,5.3,53.4
2025-01-08 19:17:18,5.2,53.6
2025-01-08 19:18:18,5.0,54.0
2025-01-08 19:19:18,5.1,53.6
2025-01-08 19:20:18,4.9,53.3
2025-01-08 19:21:18,5.4,53.6
2025-01-08 19:22:18,5.3,53.8
2025-01-08 19:23:18,5.1,53.7
2025-01-08 19:24:18,5.5,53.5
2025-01-08 19:25:18,5.0,53.8
2025-01-08 19:26:18,5.2,53.7
2025-01-08 19:27:18,5.1,52.8
2025-01-08 19:28:18,4.4,53.1
2025-01-08 19:29:18,4.1,52.9
2025-01-08 19:30:18,4.3,53.6
2025-01-08 19:31:18,4.5,53.2
2025-01-08 19:32:18,4.5,53.2
2025-01-08 19:33:18,4.3,53.2
2025-01-08 19:34:18,4.6,53.6
2025-01-08 19:35:18,4.3,53.0
2025-01-08 19:36:18,4.6,52.6
2025-01-08 19:37:18,4.7,53.3
2025-01-08 19:38:18,4.4,53.5
2025-01-08 19:39:18,4.4,52.8
2025-01-08 19:40:18,4.2,53.4
2025-01-08 19:41:18,4.5,53.1
2025-01-08 19:42:18,4.6,52.9
2025-01-08 19:43:18,4.3,52.7
2025-01-08 19:44:18,4.8,53.1
2025-01-08 19:45:18,4.6,52.9
2025-01-08 19:46:18,4.7,53.0
2025-01-08 19:47:18,4.7,53.0
2025-01-08 19:48:18,4.8,53.1
2025-01-08 19:49:18,5.0,53.1
2025-01-08 19:50:18,4.6,53.9
2025-01-08 19:51:18,4.6,53.2
2025-01-08 19:52:18,5.1,53.1
2025-01-08 19:53:18,5.0,53.0
2025-01-08 19:54:18,4.9,53.6
2025-01-08 19:55:18,4.6,52.9
2025-01-08 19:56:18,4.4,52.9
2025-01-08 19:57:18,4.5,53.1
2025-01-08 19:58:18,4.6,53.2
2025-01-08 19:59:18,4.8,52.6
2025-01-08 20:00:18,5.0,53.1
2025-01-08 20:01:18,5.0,53.1
2025-01-08 20:02:18,4.8,53.7
2025-01-08 20:03:18,4.8,53.0
2025-01-08 20:04:18,4.8,52.9
2025-01-08 20:05:18,4.9,53.4
2025-01-08 20:06:18,4.8,53.7
2025-01-08 20:07:18,4.7,53.1
2025-01-08 20:08:18,4.4,53.7
2025-01-08 20:09:18,4.7,53.4
2025-01-08 20:10:18,4.7,53.4
2025-01-08 20:11:18,4.7,53.6
2025-01-08 20:12:18,5.0,53.3
2025-01-08 20:13:18,4.6,53.1
2025-01-08 20:14:18,4.8,53.9
2025-01-08 20:15:18,4.7,53.2
2025-01-08 20:16:18,4.4,53.0
2025-01-08 20:17:18,4.5,53.0
2025-01-08 20:18:18,4.3,54.0
2025-01-08 20:19:18,4.5,53.3
2025-01-08 20:20:18,4.7,53.0
2025-01-08 20:21:18,4.7,54.0
2025-01-08 20:22:18,4.9,54.0
2025-01-08 20:23:18,4.8,53.3
2025-01-08 20:24:18,4.8,53.9
2025-01-08 20:25:18,4.7,53.5
2025-01-08 20:26:18,4.6,53.6
2025-01-08 20:27:18,4.8,53.5
2025-01-08 20:28:18,4.7,53.4
2025-01-08 20:29:18,4.9,52.9
2025-01-08 20:30:18,4.4,53.9
2025-01-08 20:31:18,5.1,53.2
2025-01-08 20:32:18,5.7,53.6
2025-01-08 20:33:18,6.1,53.8
2025-01-08 20:34:18,5.9,53.7
2025-01-08 20:35:18,5.6,53.1
2025-01-08 20:36:18,6.1,53.7
2025-01-08 20:37:18,5.6,53.5
2025-01-08 20:38:18,5.9,53.9
2025-01-08 20:39:18,5.3,53.9
2025-01-08 20:40:18,5.4,53.7
2025-01-08 20:41:18,5.7,53.4
2025-01-08 20:42:18,5.7,54.3
2025-01-08 20:43:18,5.7,53.4
2025-01-08 20:44:18,5.9,54.0
2025-01-08 20:45:18,5.6,53.7
2025-01-08 20:46:18,5.6,53.8
2025-01-08 20:47:18,5.5,54.0
2025-01-08 20:48:18,4.3,53.7
2025-01-08 20:49:18,4.2,53.5
2025-01-08 20:50:18,5.8,54.3
2025-01-08 20:51:18,6.2,54.4
2025-01-08 20:52:18,6.5,53.8
2025-01-08 20:53:18,6.8,53.6
2025-01-08 20:54:18,6.7,54.8
2025-01-08 20:55:18,6.4,54.0
2025-01-08 20:56:18,6.6,53.9
2025-01-08 20:57:18,6.6,53.9
2025-01-08 20:58:18,6.6,54.2
2025-01-08 20:59:18,6.6,53.9
2025-01-08 21:00:18,6.4,53.5
2025-01-08 21:01:18,5.1,54.2
2025-01-08 21:02:18,5.2,54.5
2025-01-08 21:03:18,5.4,54.0
2025-01-08 21:04:18,5.1,54.3
2025-01-08 21:05:18,5.1,54.1
2025-01-08 21:06:18,5.0,54.0
2025-01-08 21:07:18,4.9,54.1
2025-01-08 21:08:18,4.5,53.9
2025-01-08 21:09:18,4.5,53.4
2025-01-08 21:10:18,4.6,53.7
2025-01-08 21:11:18,4.2,53.9
2025-01-08 21:12:18,4.6,53.3
2025-01-08 21:13:18,4.5,53.2
2025-01-08 21:14:18,4.5,54.2
2025-01-08 21:15:18,4.6,53.5
2025-01-08 21:16:18,4.4,54.0
2025-01-08 21:17:18,4.5,53.7
2025-01-08 21:18:18,4.6,54.0
2025-01-08 21:19:18,4.3,53.2
2025-01-08 21:20:18,4.6,53.9
2025-01-08 21:21:18,4.1,53.6
2025-01-08 21:22:18,4.3,53.7
2025-01-08 21:23:18,4.5,54.2
2025-01-08 21:24:18,4.5,53.9
2025-01-08 21:25:18,4.5,53.5
2025-01-08 21:26:18,4.5,55.9
2025-01-08 21:27:18,4.4,53.6
2025-01-08 21:28:18,4.6,53.6
2025-01-08 21:29:18,4.2,54.6
2025-01-08 21:30:18,4.6,54.4
2025-01-08 21:31:18,4.5,53.9
2025-01-08 21:32:18,4.6,54.8
2025-01-08 21:33:18,4.7,54.4
2025-01-08 21:34:18,4.1,54.4
2025-01-08 21:35:18,4.3,53.6
2025-01-08 21:36:18,4.4,54.3
2025-01-08 21:37:18,4.6,53.9
2025-01-08 21:38:18,4.6,55.1
2025-01-08 21:39:18,4.3,54.4
2025-01-08 21:40:18,4.5,53.9
